Year,town,flat_type,resale_price
2022-06-01,ANG MO KIO,4 ROOM,450000.0
2022-06-01,ANG MO KIO,4 ROOM,468000.0
2022-06-01,ANG MO KIO,4 ROOM,665000.0
2022-06-01,ANG MO KIO,4 ROOM,488000.0
2022-06-01,ANG MO KIO,4 ROOM,436000.0
2022-06-01,ANG MO KIO,4 ROOM,485000.0
2022-06-01,ANG MO KIO,4 ROOM,810000.0
2022-06-01,ANG MO KIO,4 ROOM,450000.0
2022-06-01,ANG MO KIO,4 ROOM,405000.0
2022-06-01,ANG MO KIO,4 ROOM,453000.0
2022-06-01,ANG MO KIO,4 ROOM,450000.0
2022-06-01,ANG MO KIO,4 ROOM,480000.0
2022-06-01,ANG MO KIO,4 ROOM,440000.0
2022-06-01,ANG MO KIO,4 ROOM,478000.0
2022-06-01,ANG MO KIO,4 ROOM,450000.0
2022-06-01,ANG MO KIO,4 ROOM,436888.0
2022-06-01,ANG MO KIO,4 ROOM,450888.0
2022-06-01,ANG MO KIO,4 ROOM,470000.0
2022-06-01,ANG MO KIO,4 ROOM,462000.0
2022-06-01,ANG MO KIO,4 ROOM,490000.0
2022-06-01,ANG MO KIO,4 ROOM,455000.0
2022-06-01,ANG MO KIO,4 ROOM,538000.0
2022-06-01,ANG MO KIO,4 ROOM,505000.0
2022-06-01,ANG MO KIO,4 ROOM,472000.0
2022-06-01,ANG MO KIO,4 ROOM,835000.0
2022-06-01,ANG MO KIO,4 ROOM,825050.0
2022-06-01,ANG MO KIO,4 ROOM,873800.0
2022-06-01,ANG MO KIO,4 ROOM,650000.0
2022-06-01,ANG MO KIO,4 ROOM,715000.0
2022-06-01,ANG MO KIO,4 ROOM,600000.0
2022-06-01,ANG MO KIO,4 ROOM,878000.0
2022-06-01,ANG MO KIO,4 ROOM,900000.0
2022-06-01,ANG MO KIO,4 ROOM,888000.0
2022-06-01,ANG MO KIO,4 ROOM,875000.0
2022-06-01,ANG MO KIO,4 ROOM,841080.0
2022-06-01,ANG MO KIO,4 ROOM,896888.0
2022-06-01,ANG MO KIO,4 ROOM,800000.0
2022-06-01,ANG MO KIO,4 ROOM,915000.0
2022-06-01,ANG MO KIO,4 ROOM,702000.0
2022-06-01,ANG MO KIO,4 ROOM,838000.0
2022-06-01,ANG MO KIO,4 ROOM,668000.0
